	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1		CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2		CNF vs NF	CNF vs NF	CNF vs NF	CNF vs NF	
TTLL6	-1.146773716	0.795535051	0.850664634	16.57890129	 	2.173341167	0.225274049	0.41263749	16.44563161	 	1.618231889	0.254241972	0.354216015	16.44563161	 
LILRA4	1.311499457	0.671992753	0.746318417	14.063653	 	-1.212433967	0.735032082	0.843434222	21.25580189	 	-2.75849128	0.036898494	0.070036765	53.6374584	 
CA3	-2.805241204	1	1	310.2228119	 	1.676943167	1	1	97.50910134	 	-4.483099686	1	1	534.4848057	 
DBH	4.410789966	0.011898231	0.022912337	55.4686139	 	2.071830622	0.24838531	0.439186202	55.4686139	 	1.905494866	0.160268486	0.242406086	55.4686139	 
IL17B	-3.128132159	0.008109257	0.0162452	24.29074006	 	1.265842209	0.698961256	0.819389879	6.404358975	 	-2.31897131	0.01694369	0.03548007	17.62062487	 
RSPH1	1.941561678	0.211510158	0.289030659	53.00293146	 	1.761203604	0.376170515	0.569000873	53.00293146	 	2.311598275	0.046748104	0.085826477	53.00293146	 
C2orf91	4.438451473	4.19E-07	1.76E-06	42.18124389	 	4.244926122	0.003010158	0.017179765	42.18124389	 	2.68121099	6.30E-05	0.000234121	42.18124389	 
CACNA2D3	-7.301843187	2.92E-09	1.66E-08	643.298307	 	-3.378186713	0.01680709	0.065103373	339.2750561	 	-1.31962753	0.311945268	0.417638042	105.8044495	 
CLRN1	2.773841583	0.10441815	0.157493396	1.634124331	 	1.156302638	0.806782697	0.889457134	1.634124331	 	-2.52886338	0.052183896	0.094275351	5.633509143	 
ERVFRD-1	13.66905467	6.16E-06	2.17E-05	57.89907037	 	1.908717355	0.310134697	0.505161109	57.89907037	 	-1.059267361	0.897817891	0.942243798	57.89907037	 
KCNG2	1.903894073	0.272437516	0.357950675	16.21825984	 	-1.056433372	0.930829547	0.960592125	21.01020524	 	-2.035103773	0.119562272	0.190265669	46.53152214	 
MAEL	1.296677988	0.581455413	0.66649619	17.11812757	 	-1.429594034	0.564889128	0.724884201	28.00536018	 	-1.0220974	0.954058181	0.98106533	17.11812757	 
DPF1	-5.985027941	5.69E-08	2.71E-07	231.4474285	 	1.087953968	0.868704685	0.924856916	34.37259213	 	3.683988781	4.52E-06	2.06E-05	34.37259213	 
OTOF	-1.580623589	0.391044878	0.482962535	44.47466973	 	1.017619882	0.978220274	0.989614249	32.55935853	 	1.506398153	0.33345557	0.440276624	32.55935853	 
SYT3	-4.51170308	0.005600477	0.011597441	65.62307319	 	-1.082646152	0.90129366	0.943913308	12.43163819	 	1.13758534	0.765575239	0.840867886	9.117724937	 
XCL1	-2.865765618	0.039394788	0.066853086	44.8081915	 	-4.391393809	0.019861811	0.07364456	119.0628539	 	-2.067528704	0.074472863	0.128028544	30.67309137	 
C22orf31	1.661814908	0.413194786	0.504649126	22.5003379	 	1.517131824	0.491798064	0.668349179	22.5003379	 	2.667465444	0.040555176	0.075839171	22.5003379	 
CHRNA4	1.273423248	1	1	30.75564964	 	1.149002649	1	1	23.50976205	 	1.644156012	1	1	23.50976205	 
FEV	-10.78395213	0.000174868	0.000485012	67.93518493	 	-3.164835914	0.04845784	0.141966055	30.43313976	 	-3.305645509	0.013447876	0.028971413	14.96704833	 
PAPOLB	-8.741353419	2.52E-07	1.09E-06	37.85029004	 	-1.071592429	0.909643707	0.949308277	3.903436954	 	-1.090683046	0.810820499	0.875750705	3.835193151	 
ASGR1	-1.160874923	0.655413828	0.732063035	108.0758989	 	1.425833047	0.487629114	0.66439723	101.6752256	 	4.797738822	2.08E-08	1.40E-07	101.6752256	 
CELF4	1.078411389	1	1	56.02285785	 	1.423695361	1	1	56.02285785	 	1.50937739	1	1	56.02285785	 
FOXQ1	1.256524555	0.692971385	0.763955424	331.8831426	 	1.116021312	0.862913372	0.921391449	331.8831426	 	10.81838072	1.43E-07	8.41E-07	331.8831426	 
NME9	9.645530358	6.95E-07	2.81E-06	48.71705452	 	3.395814933	0.046246621	0.137249401	48.71705452	 	6.442849536	5.70E-07	3.02E-06	48.71705452	 
CELF5	-1.066685117	0.898867082	0.931143475	29.77265633	 	-1.066623663	0.919103414	0.953603516	30.17309555	 	1.824313913	0.138973518	0.21528927	29.77265633	 
EPHA6	-3.758352197	0.007321664	0.014795515	33.45576633	 	1.033726303	0.958246947	0.978215899	7.305643209	 	-1.199950128	0.648348657	0.741947018	8.955143524	 
MYO3A	-16.84959935	8.67E-06	2.99E-05	184.1344597	 	-2.204884019	0.174406323	0.346355015	25.62069895	 	1.494438595	0.408379053	0.51724733	3.517689386	 
NXF3	-1.071649818	0.871803632	0.911246366	37.23500997	 	1.188394505	0.772470054	0.868981895	36.1952478	 	1.696740227	0.129788332	0.203800761	36.1952478	 
PRPH	-9.746350545	1.45E-05	4.82E-05	2150.974823	 	-2.942406836	0.090943325	0.222998625	821.0485673	 	-1.134662323	0.761081149	0.837408338	174.7672534	 
GLB1L3	1.419284203	0.404249384	0.49588162	194.2198791	 	1.580191553	0.437120681	0.624067554	194.2198791	 	21.30622379	3.30E-18	8.37E-17	194.2198791	 
C11orf94	-1.492150765	0.104693318	0.157837658	7.283386549	 	5.805651843	0.004650625	0.024258991	5.196091283	 	2.810230651	0.000364724	0.001146665	5.196091283	 
FAM9B	20.74207532	1.44E-13	1.39E-12	19.77652849	 	4.864616919	0.005560992	0.027885828	19.77652849	 	10.10990473	1.72E-11	1.81E-10	19.77652849	 
MPP4	-1.182366657	0.62612186	0.705844747	32.84417116	 	1.511854645	0.434056292	0.621718985	27.3044232	 	3.066962182	0.000139494	0.000479787	27.3044232	 
NFE2	1.452382286	0.334887923	0.424644148	69.57762167	 	2.645750038	0.086055664	0.213900399	69.57762167	 	4.149030737	9.06E-06	3.92E-05	69.57762167	 
OR3A1	-9.121324444	0.000207922	0.000567794	41.06537418	 	-3.584666006	0.041339655	0.12631821	25.37819483	 	1.013703414	0.976866413	0.996477208	2.501515946	 
SLPI	-1.169470897	0.793020155	0.848946979	505.1243288	 	-2.143330717	0.224681179	0.411877374	1513.599846	 	3.006948241	0.017407811	0.036338832	505.1243288	 
SYNE4	1.360021509	0.231297507	0.311739143	80.52033235	 	7.330413908	1.16E-05	0.000209366	80.52033235	 	10.17281895	1.65E-22	7.12E-21	80.52033235	 
ABCA12	2.937320357	0.00788464	0.015837315	1287.744562	 	8.522099847	0.000210269	0.002144642	1287.744562	 	72.23541403	5.03E-37	1.04E-34	1287.744562	 
ARPP21	-18.05014912	2.32E-07	1.01E-06	171.7204553	 	-2.613753353	0.132615461	0.287762588	28.15212569	 	-2.689220925	0.024966428	0.049693532	18.32937926	 
ASPDH	3.006071366	0.084156322	0.130550192	32.25575136	 	1.531442075	0.461924325	0.644232367	32.25575136	 	3.713460355	0.006985039	0.0162514	32.25575136	 
CYP2C8	-1.577217707	0.335278709	0.425107622	15.38368136	 	1.628204405	0.437622867	0.624368538	10.55754993	 	1.770558082	0.142689394	0.22011308	10.55754993	 
EPPIN	19.26978203	1.64E-21	3.76E-20	41.48684931	 	2.720991455	0.027258886	0.093262562	41.48684931	 	6.451686074	9.77E-14	1.39E-12	41.48684931	 
HIST1H3H	-121.6305059	8.12E-29	3.66E-27	1780.506357	 	-3.12733267	0.056603376	0.159321104	45.19341952	 	1.223505508	0.573926305	0.675971045	7.808580588	 
OR1F1	-15.0850283	4.26E-13	3.86E-12	5.93190867	 	-13.5192624	8.68E-07	2.61E-05	7.653746361	 	1.884150984	0.18325723	0.270962932	0.130244002	 
PSCA	-1.180369802	0.673648064	0.747860514	43.66974588	 	6.225863376	0.001915572	0.012165236	43.66974588	 	14.24064151	7.71E-14	1.11E-12	43.66974588	 
SLC12A1	1.590064235	0.352235998	0.443698117	10.94648096	 	3.398699649	0.05588457	0.15789311	10.94648096	 	3.67255289	0.00185607	0.00499316	10.94648096	 
SLC22A18AS	7.86034565	9.49E-09	5.01E-08	23.80357266	 	2.222890053	0.13373436	0.289299622	23.80357266	 	2.349476742	0.003154515	0.007969925	23.80357266	 
SMC1B	1.115944977	1	1	12.77492344	 	2.148094701	1	1	12.77492344	 	3.939258131	1	1	12.77492344	 
STRC	1.776081064	0.103043436	0.155631193	133.4819383	 	4.404835882	0.005617342	0.028081514	133.4819383	 	16.6767424	3.55E-20	1.15E-18	133.4819383	 
ACSM2B	21.70258879	5.98E-13	5.32E-12	25.11514724	 	3.410509977	0.033169561	0.107558839	25.11514724	 	1.108543075	0.740629475	0.820840204	25.11514724	 
AWAT1	15.44462186	2.55E-06	9.52E-06	211.6087306	 	2.308911556	0.187934172	0.364947174	211.6087306	 	19.68561356	8.34E-11	7.99E-10	211.6087306	 
C11orf16	-4.570937364	0.011906764	0.022924883	10.57846493	 	1.675883106	0.390720808	0.58266582	2.104394631	 	3.254616997	0.015689571	0.033166032	2.104394631	 
CFTR	1.172937445	0.746436905	0.810688512	63.69289131	 	2.654690233	0.122164102	0.273053869	63.69289131	 	7.576528367	4.85E-07	2.60E-06	63.69289131	 
CPA5	-8.345276573	8.20E-10	4.93E-09	41.23103845	 	-2.272779118	0.124443395	0.27677427	11.93271358	 	2.759639808	0.003562084	0.008871714	4.315661138	 
CYP11B1	1.498165619	0.481277842	0.572421472	0.418315904	 	1.05607465	0.882080601	1	0.418315904	 	1.177740796	0.696539918	0.783881224	0.418315904	 
DDX4	-2.347516158	0.094388822	0.144268048	1.649290463	 	-1.477054537	0.540971479	0.705806212	1.185879962	 	1.303083457	0.566702084	0.669102307	0.545162611	 
FOXR1	2.127256753	0.186916962	0.260244734	1.469952171	 	1.868542016	0.313484758	1	1.469952171	 	4.25997068	0.003153798	0.00796931	1.469952171	 
GAL	3.791406819	0.016998377	0.031618635	1299.25882	 	1.927363967	0.305052937	0.499618152	1299.25882	 	13.0766342	4.62E-09	3.44E-08	1299.25882	 
GAS2L2	-1.675439333	0.321955901	0.411273903	12.64264721	 	2.395607564	0.172754389	0.344503972	9.122120036	 	2.84252791	0.015024832	0.031967445	9.122120036	 
GDPD4	6.402332919	0.000976269	0.00235613	5.225600405	 	2.48843334	0.153977016	0.317413572	5.225600405	 	4.105642519	0.002017554	0.005380252	5.225600405	 
GPR182	5.891159341	0.000383852	0.001000466	10.85475343	 	2.611844526	0.13071963	0.285291279	10.85475343	 	1.640112033	0.21005873	0.303364055	10.85475343	 
HCRTR1	-1.211392405	0.642034698	0.720516553	6.339122745	 	4.256764471	0.022435884	0.080732321	6.098288856	 	1.479705941	0.270614659	0.372552014	6.098288856	 
HIST1H3B	-102.3965722	6.40E-14	6.41E-13	2583.884871	 	1.459767207	0.533906836	0.700266908	1.774181156	 	3.386275087	0.011011841	0.024286408	0.957000978	 
IFNE	-14.8467513	4.89E-08	2.35E-07	41.5825411	 	-2.989047451	0.083628232	0.209776002	10.05678574	 	3.348158007	0.008049592	0.018377371	0.981733324	 
IL36RN	2.115447704	0.17186419	0.242396965	793.5195855	 	2.383210825	0.1750378	0.347098693	793.5195855	 	26.32844144	5.15E-14	7.58E-13	793.5195855	 
MAP3K19	2.347631858	1	1	1.511099258	 	1.528621124	1	1	1.511099258	 	1.760864092	1	1	1.511099258	 
MEPE	1.193732141	1	1	8.53522939	 	-2.134997275	1	1	3.063354059	 	-1.615611213	1	1	0.978222218	 
MS4A12	-4.693342245	0.004217183	0.008977192	1.261880438	 	1	1	1	0	 	1	1	1	0	 
NLRP9	2.297981325	0.153650566	0.220029703	2.602781368	 	1.937056373	0.289083908	0.482923472	2.602781368	 	2.662902603	0.039369295	0.073958693	2.602781368	 
PON1	1.340778118	0.530833533	0.619217782	16.38739333	 	1.438913427	0.559061674	0.7206688	16.38739333	 	3.314076277	0.002143415	0.005670038	16.38739333	 
PRKAG3	1.756884602	0.293373964	0.381053109	50.84056619	 	2.421107123	0.167315314	0.336729082	50.84056619	 	4.857964052	0.000235376	0.000771512	50.84056619	 
PRSS22	-1.420398922	0.521608319	0.610984099	216.6121291	 	2.60510183	0.134871917	0.290867485	216.6121291	 	26.13024067	1.19E-13	1.68E-12	216.6121291	 
PTGER1	-1.333881067	0.542432189	0.630052968	23.1243058	 	-1.00616715	0.99212792	0.996864054	16.94555522	 	-1.095943872	0.809979422	0.875348192	18.30987034	 
RNF151	-1.680111205	0.178936497	0.250857127	2.846371611	 	2.828449596	0.105910845	0.247869611	1.739862811	 	2.703866533	0.017287589	0.036123738	1.739862811	 
SERPINA9	17.49663724	5.64E-08	2.68E-07	24.55013783	 	3.719017985	0.039450058	0.121900304	24.55013783	 	8.666584413	3.40E-07	1.88E-06	24.55013783	 
LILRB5	4.437908209	2.00E-05	6.50E-05	814.2376854	 	1.267995661	0.650608682	0.788278362	814.2376854	 	1.088665954	0.764693116	0.840093627	814.2376854	 
TM4SF19	-1.358650729	0.385594362	0.477422819	63.75470689	 	1.1474119	0.796126535	0.882908359	52.52084647	 	12.69722167	1.78E-15	3.18E-14	52.52084647	 
ATP2C2	2.508598878	0.098795714	0.150184845	709.8821512	 	2.639936172	0.129238144	0.283210048	709.8821512	 	14.11143461	1.61E-09	1.28E-08	709.8821512	 
RAET1G	-2.183318786	0.022930902	0.041337067	59.07233574	 	1.39870747	0.525450588	0.694136858	26.18574016	 	2.102471772	0.010554654	0.02338542	26.18574016	 
MLXIPL	2.973126939	0.011708844	0.022581246	444.5596339	 	2.496818824	0.125597619	0.278275879	444.5596339	 	-1.343351674	0.395635899	0.504947654	514.9457985	 
HOXD3	-2.268539856	0.135768425	0.197788778	176.5783282	 	-1.012820813	0.984125378	0.992593105	77.32194618	 	1.118674193	0.79536606	0.86444341	77.32194618	 
DNAJC5B	2.065646729	0.004853984	0.010209999	28.54658657	 	1.423826837	0.406696734	0.597257518	28.54658657	 	5.194932124	1.44E-11	1.53E-10	28.54658657	 
MUSTN1	1.372873516	1	1	53.93220021	 	2.276535323	1	1	53.93220021	 	-2.046477591	1	1	110.6067072	 
FGD2	1.718811909	0.264675344	0.349023339	713.2471649	 	1.613440383	0.445384822	0.630368685	713.2471649	 	-1.194701844	0.645781386	0.739956062	713.2471649	 
GFI1B	13.00991456	2.76E-17	4.02E-16	68.70108924	 	5.680521856	0.000322822	0.002996622	68.70108924	 	16.12509041	9.89E-24	4.82E-22	68.70108924	 
NT5DC4	6.123781929	0.004210281	0.008965904	0.856472334	 	-1.399348806	0.592128105	0.745368559	1.530130767	 	1.561672761	0.351987041	0.45970415	0.856472334	 
OR4M2	-1.342933463	1	1	1.300649153	 	1	1	1	0	 	1	1	1	0	 
TMEM52B	14.62772685	6.37E-10	3.88E-09	69.57297134	 	1.533842532	0.470719933	0.650823917	69.57297134	 	-1.242572557	0.525592483	0.63070348	73.67520917	 
UPB1	17.51319981	3.77E-27	1.48E-25	186.7314891	 	12.57151958	1.24E-08	8.11E-07	186.7314891	 	12.3359375	6.15E-29	5.25E-27	186.7314891	 
TSPAN19	10.83030676	4.46E-10	2.77E-09	28.06978373	 	6.184250011	0.001576322	0.010423278	28.06978373	 	6.587836861	4.81E-09	3.57E-08	28.06978373	 
ABCC11	-1.291634652	0.3937453	0.485762649	17.73056804	 	6.639606971	0.00098217	0.007232178	14.4100447	 	1.641854421	0.060217936	0.106745939	14.4100447	 
HRK	1.791321959	0.102742309	0.155273299	20.17613121	 	-1.630912622	0.357801823	0.551173286	38.26718554	 	1.168492332	0.596963145	0.697196246	20.17613121	 
FXYD6-FXYD2	-1.798408657	0.300631527	0.388858083	7.988187998	 	1.109743353	0.869991994	0.925801723	6.115479981	 	2.324518191	0.066049593	0.115596922	6.115479981	 
CRX	46.45686395	1.38E-37	1.42E-35	104.507203	 	4.293424007	0.000691103	0.005459477	104.507203	 	6.760041746	1.43E-17	3.36E-16	104.507203	 
PPEF2	16.7540648	5.03E-19	8.83E-18	31.27456581	 	4.943469442	0.00108624	0.007848727	31.27456581	 	11.46050349	8.05E-18	1.95E-16	31.27456581	 
ZNF705A	-8.33292188	1.92E-06	7.30E-06	11.09935361	 	-10.04760386	0.000124322	0.001398428	21.63906347	 	1.939117795	0.134484031	0.209608648	0.922432669	 
AGXT	4.544814525	1.91E-07	8.40E-07	48.85620511	 	-1.455590029	0.403737828	0.594474332	68.32431118	 	7.36266695	1.66E-14	2.59E-13	48.85620511	 
PABPC3	-1.680529933	1	1	21.68263767	 	-1.558342173	1	1	23.22022089	 	1.925714974	1	1	12.59549404	 
TPH2	5.26167886	5.15E-05	0.000157024	65.24148847	 	2.582405789	0.103508347	0.243920381	65.24148847	 	4.444145983	9.04E-06	3.92E-05	65.24148847	 
KLK10	2.948675133	0.006047745	0.012431804	1097.746004	 	6.789284065	0.000749403	0.005808498	1097.746004	 	13.12153346	9.14E-16	1.69E-14	1097.746004	 
SLCO1A2	-5.13235264	0.000518025	0.001316598	106.4185611	 	2.384312295	0.165705175	0.334360529	15.84680281	 	-1.223170141	0.596185879	0.696559042	21.09119301	 
C14orf178	14.20435828	4.25E-21	9.25E-20	40.88851156	 	14.82046162	4.45E-07	1.54E-05	40.88851156	 	13.82156995	8.49E-23	3.75E-21	40.88851156	 
IFNLR1	1.833728208	0.058823748	0.095405653	306.1811087	 	1.913026011	0.189459153	0.367028986	306.1811087	 	2.745876385	0.000122075	0.000425529	306.1811087	 
NANOG	31.84520108	3.97E-32	2.40E-30	146.5989739	 	16.90857545	4.58E-09	3.62E-07	146.5989739	 	24.51434838	1.28E-35	2.11E-33	146.5989739	 
TNFRSF10A	-3.540598774	3.32E-06	1.22E-05	770.6315305	 	-1.43816979	0.401912146	0.592971338	314.9275829	 	1.429042469	0.11119943	0.179161147	210.9160362	 
DEPDC4	1.18219371	0.303072387	0.391593645	53.20257321	 	4.208543931	1.89E-05	0.000308044	53.20257321	 	4.617089856	3.31E-21	1.23E-19	53.20257321	 
LRG1	4.651095576	2.42E-05	7.77E-05	429.185252	 	4.089994334	0.009210173	0.041348829	429.185252	 	7.53550242	1.19E-11	1.28E-10	429.185252	 
LRRC25	1.241128519	0.658076996	0.734354896	182.6933116	 	-2.101819279	0.23672768	0.425915353	537.1983958	 	-3.392926732	0.001677305	0.00455645	709.3842661	 
ANKRD62	1.786942404	0.062139183	0.100030524	45.46087173	 	6.396033801	0.000400838	0.003577302	45.46087173	 	15.97272092	2.20E-19	6.33E-18	45.46087173	 
OR2M4	9.48269633	2.08E-07	9.13E-07	52.01019809	 	6.134455144	0.002751535	0.016054892	52.01019809	 	9.699790357	3.72E-10	3.23E-09	52.01019809	 
TMPRSS2	-2.511421627	0.095089671	0.145180934	117.2360135	 	1.212692133	0.763233084	0.862782911	58.91319493	 	4.984631661	0.000246827	0.000805624	58.91319493	 
SHOX	1.373289397	0.455449207	0.547274431	155.868254	 	1.496592224	0.496344452	0.671249544	155.868254	 	12.3238803	8.71E-13	1.11E-11	155.868254	 
CHRM3	-3.228703185	0.005999461	0.012347252	228.4887945	 	-1.023937724	0.96824654	0.983354535	64.92302124	 	1.142517906	0.699365495	0.786429649	63.38097067	 
SRL	-1.657824078	0.292361783	0.379914458	138.2200706	 	1.319282659	0.657535483	0.792259131	88.11461964	 	-1.180933584	0.664670948	0.75662272	93.98078579	 
FAM186A	46.81690635	3.22E-20	6.42E-19	39.2825815	 	9.76554462	6.47E-05	0.000842082	39.2825815	 	31.40764102	1.32E-20	4.44E-19	39.2825815	 
GIMAP1	3.946332235	0.00494714	0.010378689	660.0734914	 	1.564391754	0.476081291	0.655162561	660.0734914	 	-1.609094273	0.221390612	0.316872496	860.8803773	 
OR6J1	23.50872212	5.57E-31	3.03E-29	57.08601857	 	6.588638323	1.36E-05	0.000234462	57.08601857	 	3.056248548	2.53E-08	1.69E-07	57.08601857	 
C5AR1	1.414617222	0.396821764	0.488340181	260.8918843	 	-4.153228093	0.014046063	0.056825897	1760.472877	 	-5.745749773	1.18E-07	7.05E-07	1860.263863	 
PRKCG	-5.535742644	0.001323184	0.003106887	15.12422109	 	-3.109962778	0.075897212	0.195652317	12.50055915	 	2.160424732	0.090221826	0.150569646	1.153925461	 
CD209	1.516029733	0.282733072	0.369056076	431.1950746	 	-6.276259205	0.001060749	0.007695417	3724.116205	 	-1.93945395	0.03454353	0.066209417	764.7717016	 
MYPN	-3.794961056	0.001803942	0.004118992	133.7380908	 	1.417768175	0.55909452	0.7206688	32.16572498	 	16.11109442	3.94E-13	5.25E-12	32.16572498	 
APBB1IP	1.525344087	0.448847617	0.540655166	248.5576986	 	-1.959356314	0.293136496	0.4877567	906.7936885	 	-4.161496192	0.00111535	0.003160221	1572.491809	 
CLDN19	-6.711552339	1.93E-08	9.79E-08	317.6749046	 	1.074912106	0.889203274	0.937513507	41.39554024	 	-15.0084181	1.08E-22	4.73E-21	739.4086439	 
SEMA3D	4.160498337	0.000242415	0.000653394	1467.395095	 	5.118191175	0.003712771	0.020239782	1467.395095	 	-1.163572898	0.629622725	0.726012932	1467.395095	 
TRPM2	-1.399670182	0.572312998	0.658529952	398.1606961	 	-1.268298927	0.705311054	0.823913525	428.507294	 	-2.77953676	0.026950261	0.053083082	961.0627101	 
NKAIN4	-1.029051196	0.959930661	0.976271984	264.1956766	 	1.118404797	0.860745475	0.920130725	264.1956766	 	1.236040431	0.634617133	0.730443528	264.1956766	 
TNFSF13B	2.175163244	0.08374844	0.130013385	217.1767663	 	-2.213463012	0.191278057	0.36984532	667.5431505	 	-2.891140082	0.003206517	0.008083096	713.5392242	 
TMEM37	1.867997804	0.144530817	0.208783287	370.5859671	 	1.351254633	0.612533341	0.760539942	370.5859671	 	-2.166314672	0.024835443	0.049479664	762.4293511	 
PPFIA2	1.287981512	0.625763342	0.705646239	149.2229484	 	1.4545124	0.556656713	0.71869177	149.2229484	 	-1.276723855	0.552273992	0.655009962	171.4449789	 
FAM184A	-5.229316721	2.83E-05	9.02E-05	710.3796121	 	-1.005844887	0.991829938	0.996797647	119.7193205	 	-1.4679602	0.23039695	0.327160715	180.3913493	 
BMP5	-12.02860201	1.44E-05	4.78E-05	2017.808446	 	-4.150748159	0.025486192	0.088638352	1049.122339	 	-1.947771239	0.136816755	0.212653267	225.1404566	 
HRCT1	1.192897226	0.573078994	0.659276033	85.63842431	 	1.960385333	0.169049218	0.339207711	85.63842431	 	-1.10286702	0.702814968	0.789516761	93.60024793	 
HAMP	16.86295436	3.39E-09	1.91E-08	79.11631258	 	-1.518599067	0.500468864	0.67407689	136.0170134	 	-3.507669954	0.000848028	0.002466364	300.6671955	 
LCK	1.119802856	0.807234801	0.860322745	157.2502284	 	-1.85042664	0.318087926	0.514239503	318.2696308	 	-1.024674317	0.94767714	0.977012494	157.2502284	 
ABCC8	1.337056416	0.599968144	0.683431372	206.5158629	 	2.585155652	0.13784416	0.295390759	206.5158629	 	2.251609271	0.062373028	0.110032721	206.5158629	 
SLCO4A1	-1.713990588	0.169147811	0.238926433	528.8665908	 	-1.552916212	0.436329643	0.623212702	524.9608084	 	3.146310886	0.000313623	0.001000155	333.1572492	 
CLEC12A	2.306798451	0.186705991	0.260037104	90.90684971	 	-1.057863039	0.923949802	0.956773014	90.90684971	 	-2.321299138	0.08144951	0.138122536	177.9659567	 
CCRL2	-1.022812625	0.962665443	0.978264865	35.16598879	 	-1.839817251	0.329602308	0.525981155	85.9617674	 	-3.039392536	0.003838003	0.009497038	121.8482223	 
DCAF12L2	-38.71705122	3.07E-10	1.96E-09	1539.904889	 	-4.893846154	0.012360584	0.051630922	265.3718752	 	-1.330577586	0.529245007	0.634136338	26.93033524	 
WIPF3	1.453669633	0.446423699	0.538352348	71.98773092	 	-1.62058035	0.442821395	0.628331846	139.7142661	 	-1.61803894	0.218858836	0.313863128	115.3749209	 
WNT3	1.542508666	0.102940035	0.155514995	589.1061714	 	2.238763049	0.058442139	0.162940263	589.1061714	 	8.469343761	4.24E-22	1.72E-20	589.1061714	 
GNGT2	1.758688885	0.264264047	0.348655241	20.22403012	 	-1.458963163	0.551297094	0.714618252	38.22609731	 	-3.698739919	0.001102914	0.003131844	94.38390016	 
BEND4	-8.110131186	0.000257611	0.00069147	109.4120502	 	-3.454884191	0.051559023	0.14889827	69.71412102	 	-3.823663801	0.002790467	0.007146775	44.67327167	 
PACRG	-1.457269497	0.466813109	0.558495496	47.53125443	 	-1.510804926	0.517208779	0.6882104	60.20543364	 	-1.040959185	0.922237201	0.959342965	31.85611955	 
LIPC	2.041148906	0.026149721	0.046457394	92.32133891	 	1.28184485	0.61584927	0.762953972	92.32133891	 	1.516831885	0.113661693	0.182377028	92.32133891	 
RGS7BP	-1.332218361	0.619937001	0.70067337	25.13007501	 	-1.317052873	0.664683458	0.79696122	30.26901138	 	-4.957081812	0.000389205	0.001217414	127.6534456	 
GFI1	1.251864599	0.477727772	0.569003852	38.90805826	 	-1.132350944	0.800109285	0.885809903	44.34251279	 	-1.585737314	0.075632848	0.129722678	61.23242737	 
GZMM	-1.308443786	0.564281368	0.650623729	59.85377954	 	-1.54423476	0.482077998	0.659940713	84.32339803	 	1.466164268	0.307739333	0.4130284	51.3266168	 
COL9A1	-6.157629103	0.000348871	0.000917796	677.7375807	 	-1.517498199	0.51119057	0.683151468	162.2727557	 	-1.118142369	0.782213139	0.854051434	94.08013274	 
KCNQ4	1.763826074	0.149415245	0.214805967	54.16151936	 	2.603056257	0.094947911	0.229533924	54.16151936	 	1.305604868	0.404882653	0.51400005	54.16151936	 
KLF14	-12.73640138	1.48E-06	5.70E-06	198.7252814	 	-4.575287003	0.017298591	0.066419869	104.1718852	 	-2.619484045	0.021723273	0.044078142	32.20723955	 
CACNA1I	-4.685065194	0.005152423	0.010757026	323.5324202	 	-1.480316796	0.540032051	0.705091392	101.8546458	 	1.256681768	0.5992158	0.699098956	53.25027715	 
E2F8	-8.121941081	5.01E-09	2.75E-08	753.5503112	 	-1.463809963	0.476167003	0.655224878	130.8100509	 	4.588448527	3.36E-07	1.85E-06	82.11047204	 
EN1	-2.797367647	0.001641066	0.003776833	590.1191001	 	-1.907655412	0.196461102	0.376640645	432.7589473	 	2.12123804	0.004999233	0.01204442	207.2800777	 
SH2D1A	4.038979037	0.016948935	0.031540621	41.87428598	 	-3.290525555	0.060338918	0.166850852	237.7860957	 	-1.76162957	0.213050584	0.306789193	60.76556506	 
C11orf21	4.893037132	0.002491035	0.005547373	149.1840128	 	1.081324119	0.902516439	0.944474975	149.1840128	 	1.844128439	0.140577016	0.217452849	149.1840128	 
CASC1	-2.642484505	0.005999999	0.012347252	56.89962858	 	1.891784949	0.243044346	0.432954463	20.49518545	 	-1.267616878	0.417932418	0.526926937	26.01761866	 
MYOZ1	-2.321285673	1	1	53.90870744	 	3.572941014	1	1	21.79026847	 	-3.363196715	1	1	80.62181296	 
FOXP3	1.036630896	0.908778936	0.937716386	60.45945588	 	-1.013762873	0.977659497	0.989552676	60.45945588	 	3.025273359	2.90E-05	0.000114933	60.45945588	 
GALNT14	-11.50550254	5.00E-06	1.78E-05	781.6485817	 	-5.955289823	0.005282484	0.026821182	662.4766743	 	1.032415815	0.939922476	0.971459235	42.49749754	 
GALNT9	-4.992516556	0.001135194	0.002701306	232.3867592	 	-6.171695282	0.003867877	0.02090253	491.5966688	 	1.154967754	0.715366933	0.800249847	31.09424475	 
IRX1	-3.325867083	0.05487756	0.089636368	779.6729414	 	-1.228520074	0.731974211	0.841622061	252.0855765	 	1.385581982	0.496730021	0.603867165	220.6767798	 
ASIC2	-9.69635709	0.000214271	0.00058352	578.5798834	 	-2.930258362	0.080441317	0.204174534	246.8316354	 	1.163135996	0.749639352	0.82812376	24.28503698	 
PHACTR3	-6.073880407	0.002333873	0.005217094	386.8682892	 	-2.242053962	0.19987335	0.380920435	182.8901625	 	1.019431448	0.966691041	0.989097129	38.13127781	 
